_id,vertaling,aaturi
15th century,15de eeuw,http://vocab.getty.edu/aat/300404465
Adoration,aanbiddingen,
Allegories,allegorie,http://vocab.getty.edu/aat/300055866
Animal paintings,dierenvoorstellingen,http://vocab.getty.edu/aat/300263554
Annunciations,annunciaties,
Architecture ,architectuur,
Art Chambers,kunstkamers,
Busts,bustes,http://vocab.getty.edu/aat/300047457
Children's Portraits,kinderportretten,
Cityscapes,stadsgezichten,http://vocab.getty.edu/aat/300015571
Coronations of Mary,kroning van Maria,
Counter-Reformation,Contrareformatie,http://vocab.getty.edu/aat/300022045
Crucifixions,kruisigingen,http://vocab.getty.edu/aat/300404300
Descents from the Cross,kruisafnemingen,
Entombments,grafleggingen,
Epitaphs,grafschriften,http://vocab.getty.edu/aat/300028729
Flower pieces,bloemstillevens,http://vocab.getty.edu/aat/300265045
Fruit pieces,fruitstillevens,http://vocab.getty.edu/aat/300265046
Genre paintings,genrestukken,http://vocab.getty.edu/aat/300139140
Geometric abstraction,geometrische abstractie,http://vocab.getty.edu/aat/300056509
Heraldry,heraldiek,http://vocab.getty.edu/aat/300077808
History pieces,historiestukken,http://vocab.getty.edu/aat/300033898
Hunting pieces,jachtstillevens,http://vocab.getty.edu/aat/300265047
Hunting scenes,jachtstukken,
Interiors,interieurs,http://vocab.getty.edu/aat/300124520
Lamentations,lamentaties,
Landscapes,landschappen,http://vocab.getty.edu/aat/300015636
Lyrical abstraction,lyrische abstractie,http://vocab.getty.edu/aat/300056510
Market and Kitchen pieces,markt- en keukenstukken,
Mythology pieces,mythologie,http://vocab.getty.edu/aat/300055985
Passion Cycles,passiecycli,http://vocab.getty.edu/aat/300256501
Pietàs,piëta's,http://vocab.getty.edu/aat/300400908
Portraits,portretten,http://vocab.getty.edu/aat/300015637
Raisings of the Cross,kruisoprichtingen,
Religious - New Testament,religieus – Nieuw Testament,
Religious - Old Testament,religieus – Oud Testament,
Saints,heiligentaferelen,
Seascapes,zeegezichten,http://vocab.getty.edu/aat/300117546
Self-portraits,zelfportretten,http://vocab.getty.edu/aat/300124534
Still lifes,stillevens,http://vocab.getty.edu/aat/300015638
Symbolism,symboliek,http://vocab.getty.edu/aat/300055865
Topography,topografieën,
Townscapes,dorpsgezichten,http://vocab.getty.edu/aat/300236227
creator,maker,
designer,ontwerper,
engraver,graveur,
publisher,uitgever,
1th century,1ste eeuw,
2nd century,2de eeuw,
3nd century,3de eeuw,
4th century,4de eeuw,
5th century,5de eeuw,
6th century,6de eeuw,
7th century,7de eeuw,
8th century,8ste eeuw,
9th century,9de eeuw,
10th century,10de eeuw,
11th century,11de eeuw,
12th century,12de eeuw,
13th century,13de eeuw,
14th century,14de eeuw,
15th century,15de eeuw,
16th century,16de eeuw,
17th century,17de eeuw,
18th century,18de eeuw,
19th century,19de eeuw,
20th century,20ste eeuw,
21st century,21ste eeuw,
